level,id,name,hit,total
town,63000030,臺北市大安區,0,53
town,63000110,臺北市士林區,0,51
town,67000350,臺南市安南區,0,51
town,68000080,桃園市八德區,0,51
town,65000110,新北市汐止區,0,50
town,65000130,新北市土城區,0,47
town,68000100,桃園市平鎮區,0,46
town,67000320,臺南市東區,0,45
town,10015010,臺灣省花蓮縣花蓮市,0,44
town,67000310,臺南市永康區,0,43
town,65000070,新北市樹林區,0,42
town,65000100,新北市淡水區,0,42
town,68000040,桃園市楊梅區,0,41
town,10009010,臺灣省雲林縣斗六市,0,40
town,63000100,臺北市內湖區,0,39
town,68000050,桃園市蘆竹區,0,39
town,10014010,臺灣省臺東縣臺東市,0,38
town,65000140,新北市蘆洲區,0,38
town,67000330,臺南市南區,0,37
town,65000120,新北市瑞芳區,0,34
town,10005050,臺灣省苗栗縣頭份市,0,33
town,67000340,臺南市北區,0,33
town,68000070,桃園市龜山區,0,32
town,68000090,桃園市龍潭區,0,32
town,10013050,臺灣省屏東縣萬丹鄉,0,30
town,10009030,臺灣省雲林縣虎尾鎮,0,29
town,10005010,臺灣省苗栗縣苗栗市,0,28
town,10009060,臺灣省雲林縣北港鎮,0,28
town,10010050,臺灣省嘉義縣民雄鄉,0,28
town,65000090,新北市三峽區,0,28
town,68000030,桃園市大溪區,0,28
town,10009040,臺灣省雲林縣西螺鎮,0,27
town,10010020,臺灣省嘉義縣朴子市,0,27
town,10010120,臺灣省嘉義縣水上鄉,0,26
town,10005020,臺灣省苗栗縣苑裡鎮,0,25
town,10005040,臺灣省苗栗縣竹南鎮,0,25
town,10010080,臺灣省嘉義縣六腳鄉,0,25
town,10005030,臺灣省苗栗縣通霄鎮,0,24
town,10009020,臺灣省雲林縣斗南鎮,0,24
town,10009200,臺灣省雲林縣水林鄉,0,24
town,10010140,臺灣省嘉義縣竹崎鄉,0,24
town,68000120,桃園市觀音區,0,24
town,10005060,臺灣省苗栗縣後龍鎮,0,23
town,10010030,臺灣省嘉義縣布袋鎮,0,23
town,10010070,臺灣省嘉義縣新港鄉,0,23
town,10010090,臺灣省嘉義縣東石鄉,0,23
town,10013130,臺灣省屏東縣內埔鄉,0,23
town,67000010,臺南市新營區,0,23
town,68000110,桃園市新屋區,0,23
