village_id,type,url,note
10018010026,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169545554485579776&type=s&id=45&serno=6e21c071-6a29-4506-b7a7-a74ee0151148,1
10018010026,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169545554485579776&type=s&id=45&serno=6e21c071-6a29-4506-b7a7-a74ee0151148,2
10018010022,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169545406497951744&type=s&id=45&serno=77a05c38-65b5-4970-8c7c-b69c0ba682ec,1
10018010022,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169545406497951744&type=s&id=45&serno=77a05c38-65b5-4970-8c7c-b69c0ba682ec,2
10018010023,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169545133339709440&type=s&id=45&serno=ab62590a-bb2e-4284-b2ed-b6cd655ed23f,1
10018010023,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169545133339709440&type=s&id=45&serno=ab62590a-bb2e-4284-b2ed-b6cd655ed23f,2
10018010038,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169544642157350912&type=s&id=45&serno=47cc2785-8dd0-4bdd-a94f-6f6b766fcdaa,1
10018010038,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169544642157350912&type=s&id=45&serno=47cc2785-8dd0-4bdd-a94f-6f6b766fcdaa,2
10018010039,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169543721100775424&type=s&id=45&serno=5b64aff2-25b4-4af9-b115-b91b2dc83440,1
10018010039,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169543721100775424&type=s&id=45&serno=5b64aff2-25b4-4af9-b115-b91b2dc83440,2
10018010040,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169543518998237184&type=s&id=45&serno=0ef4acc5-0f03-4980-999e-d024402f5b87,1
10018010040,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169543518998237184&type=s&id=45&serno=0ef4acc5-0f03-4980-999e-d024402f5b87,2
10018010024,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169543394062503936&type=s&id=45&serno=edc0dd65-0b17-40f8-b152-ffe0bdc3ee4a,1
10018010024,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169543394062503936&type=s&id=45&serno=edc0dd65-0b17-40f8-b152-ffe0bdc3ee4a,2
10018010025,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169542921481883648&type=s&id=45&serno=0f68bffd-dbe5-4551-86c3-acf6f5447705,1
10018010025,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169542921481883648&type=s&id=45&serno=0f68bffd-dbe5-4551-86c3-acf6f5447705,2
10018010036,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169542805631012864&type=s&id=45&serno=057f3f1e-497b-4d3d-8d8a-4b3149f50638,1
10018010036,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169542805631012864&type=s&id=45&serno=057f3f1e-497b-4d3d-8d8a-4b3149f50638,2
10018010035,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169541909039812608&type=s&id=45&serno=f7f30afc-9ada-42ae-8c5f-1d7c2b08adf1,1
10018010035,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169541909039812608&type=s&id=45&serno=f7f30afc-9ada-42ae-8c5f-1d7c2b08adf1,2
10018010037,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169541784586424320&type=s&id=45&serno=40d3aec8-4f4f-4c97-9bdc-3cca28eda14c,1
10018010037,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169541784586424320&type=s&id=45&serno=40d3aec8-4f4f-4c97-9bdc-3cca28eda14c,2
10018010033,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169541429047857152&type=s&id=45&serno=3bb7acb0-8ea8-424b-9ded-afbff1f9eaef,1
10018010033,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169541429047857152&type=s&id=45&serno=3bb7acb0-8ea8-424b-9ded-afbff1f9eaef,2
10018010042,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169540924867350528&type=s&id=45&serno=5115df0b-e176-4621-bf4e-c4d9679b68fc,1
10018010042,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169540924867350528&type=s&id=45&serno=5115df0b-e176-4621-bf4e-c4d9679b68fc,2
10018010047,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169540511128621056&type=s&id=45&serno=965ff8d1-893d-4500-83f4-42c3c11ef84c,1
10018010047,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169540511128621056&type=s&id=45&serno=965ff8d1-893d-4500-83f4-42c3c11ef84c,2
10018010041,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169540186535628800&type=s&id=45&serno=ec457096-1bcc-4ab8-8ac9-97024eb14b8a,1
10018010041,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169540186535628800&type=s&id=45&serno=ec457096-1bcc-4ab8-8ac9-97024eb14b8a,2
10018010043,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169539758741786624&type=s&id=45&serno=36090cc0-d2f2-46f8-8540-924f66c82396,1
10018010043,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169539758741786624&type=s&id=45&serno=36090cc0-d2f2-46f8-8540-924f66c82396,2
10018010046,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169539626231140352&type=s&id=45&serno=49e28bbe-4617-4f01-bdfa-67e2811224e2,1
10018010046,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169539626231140352&type=s&id=45&serno=49e28bbe-4617-4f01-bdfa-67e2811224e2,2
10018010045,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169539361662832640&type=s&id=45&serno=dda955d8-490c-4bdd-a9a5-eab74212d312,1
10018010045,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169539361662832640&type=s&id=45&serno=dda955d8-490c-4bdd-a9a5-eab74212d312,2
10018010044,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169538745368580096&type=s&id=45&serno=f3bbdb3a-c356-4f99-8c86-ba20e6e46bfe,1
10018010044,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169538745368580096&type=s&id=45&serno=f3bbdb3a-c356-4f99-8c86-ba20e6e46bfe,2
10018010032,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169538175308140544&type=s&id=45&serno=0493bc95-eafe-4c97-a559-c68150473321,1
10018010032,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169538175308140544&type=s&id=45&serno=0493bc95-eafe-4c97-a559-c68150473321,2
10018010004,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169537888312889344&type=s&id=45&serno=c7a4c282-86e0-4ce0-83ac-c5fa95a1361f,1
10018010004,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169537888312889344&type=s&id=45&serno=c7a4c282-86e0-4ce0-83ac-c5fa95a1361f,2
10018010001,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169537476411265024&type=s&id=45&serno=b185b5ce-4a3d-474e-b5d8-8d664daed402,1
10018010001,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169537476411265024&type=s&id=45&serno=b185b5ce-4a3d-474e-b5d8-8d664daed402,2
10018010003,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169537127034130432&type=s&id=45&serno=1dc7deb3-c02f-4900-974b-df1d8c17b38d,1
10018010003,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169537127034130432&type=s&id=45&serno=1dc7deb3-c02f-4900-974b-df1d8c17b38d,2
10018010002,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169536814550093824&type=s&id=45&serno=f6c6c205-5da1-46cf-ab38-86da1345fc55,1
10018010002,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169536814550093824&type=s&id=45&serno=f6c6c205-5da1-46cf-ab38-86da1345fc55,2
10018010016,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169536595859083264&type=s&id=45&serno=1c57d7dc-9acb-466e-bf7a-a6961c1e485c,1
10018010016,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169536595859083264&type=s&id=45&serno=1c57d7dc-9acb-466e-bf7a-a6961c1e485c,2
10018010029,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169536465458171904&type=s&id=45&serno=10876e87-1651-4c34-ba05-b7f97ec20ee8,1
10018010029,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169536465458171904&type=s&id=45&serno=10876e87-1651-4c34-ba05-b7f97ec20ee8,2
10018010010,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169536348663582720&type=s&id=45&serno=a1f6d0ff-354e-4784-88b0-57613d991f26,1
10018010010,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169536348663582720&type=s&id=45&serno=a1f6d0ff-354e-4784-88b0-57613d991f26,2
10018010009,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169535786261942272&type=s&id=45&serno=dd9faa79-9ce5-459b-a029-756280e163e1,1
10018010009,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169535786261942272&type=s&id=45&serno=dd9faa79-9ce5-459b-a029-756280e163e1,2
10018010008,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169535608125657088&type=s&id=45&serno=b22bede3-4cda-40f0-a7ba-2200d4174c2f,1
10018010008,en.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169535608125657088&type=s&id=45&serno=b22bede3-4cda-40f0-a7ba-2200d4174c2f,2
10018010014,tw.all,https://119.hccg.gov.tw/chhcfd/app/data/doc?module=evacuationMap&detailNo=1169535503360331776&type=s&id=45&serno=cec5f38a-2ca6-4d27-ab5b-d5441e621303,1
